amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,expense_ratio_pct,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,0.96,1.64,0.16211256794033255,0.016682689437770827,-0.21539827112383225,13.0,15.0,21.0,39.5,30.0,20.775000000000002
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,1.33,0.55,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,39.0,6.0,35.0,1.0,6.0,20.95
119094,Axis Midcap Fund - Regular - Growth,15.18,0.8,1.38,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,15.0,38.5,9.0,17.0,28.0,21.275000000000002
101208,ABSL Liquid Fund - Regular - Growth,5.14,5.14,0.79,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,40.0,3.0,33.0,11.0,3.0,21.3
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,1.52,0.77,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,38.0,5.0,34.0,9.0,5.0,21.300000000000004
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,0.81,1.53,0.1750072167561127,0.1034966369133759,-0.2334488614483311,5.0,35.5,18.0,28.5,32.0,21.45
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.88,0.72,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,27.0,26.5,22.0,5.5,26.0,22.55
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.06,1.55,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,16.0,7.5,39.0,32.0,34.0,22.675000000000004
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,0.88,1.54,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,26.0,26.5,10.0,30.5,17.0,22.7
118635,Nippon India ETF Nifty 50 BeES,11.77,0.91,0.89,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,32.0,22.5,23.0,13.0,10.0,22.775
119095,Axis Small Cap Fund - Regular - Growth,20.98,0.84,1.38,0.048015953637759554,-0.066951174639292,-0.5167775370852656,4.0,32.0,37.0,17.0,39.0,23.050000000000004
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.8,0.78,0.11989100971217971,0.009054412621739154,-0.21117279560132118,14.0,38.5,26.0,10.0,29.0,23.424999999999997
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.93,1.57,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,30.0,19.5,19.0,34.0,7.0,23.474999999999998
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,0.92,1.54,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,25.0,21.0,24.0,30.5,16.0,23.725
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.81,0.66,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,34.0,35.5,15.0,4.0,11.0,23.775000000000002
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,0.8,1.6,0.2827036785246582,0.018133884083859245,-0.1639674294693263,23.0,38.5,4.0,36.5,21.0,24.9
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.87,0.75,0.08232801295222093,0.02588321244009315,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,25.85
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.82,1.42,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,33.0,33.5,17.0,20.0,14.0,26.074999999999996
102886,UTI Mid Cap Fund - Regular - Growth,15.61,0.82,1.51,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,12.0,33.5,40.0,24.5,35.0,27.150000000000002
120841,Kotak Bluechip Fund - Regular - Growth,12.25,0.87,1.59,0.13042924450705445,0.036356399022199795,-0.1757361416468729,28.0,29.0,25.0,35.0,24.0,28.299999999999997
119092,Axis Bluechip Fund - Regular - Growth,11.84,0.85,1.64,0.0689952982167755,0.009730745001153637,-0.1440161790933726,31.0,31.0,30.0,39.5,15.0,30.474999999999998
